k,Instance_Index,MRR,Precision,IRR
5,0,0.5,0.2,0.055874216790522
10,0,0.5,0.2,0.1419336764050545
20,0,0.5,0.15,0.36349280638587894
5,1,0.5,0.2,0.055874216790522
10,1,0.5,0.2,0.1419336764050545
20,1,0.5,0.15,0.36349280638587894
5,2,0.5,0.2,0.055874216790522
10,2,0.5,0.2,0.1419336764050545
20,2,0.5,0.15,0.36349280638587894
5,3,0.5,0.2,0.055874216790522
10,3,0.5,0.2,0.1419336764050545
20,3,0.5,0.15,0.36349280638587894
5,4,0.5,0.2,0.055874216790522
10,4,0.5,0.2,0.1419336764050545
20,4,0.5,0.15,0.36349280638587894
5,5,0.5,0.2,0.055874216790522
10,5,0.5,0.2,0.1419336764050545
20,5,0.5,0.15,0.36349280638587894
5,6,0.5,0.2,0.055874216790522
10,6,0.5,0.2,0.1419336764050545
20,6,0.5,0.15,0.36349280638587894
5,7,0.5,0.2,0.055874216790522
10,7,0.5,0.2,0.1419336764050545
20,7,0.5,0.15,0.36349280638587894
5,8,0.5,0.2,0.055874216790522
10,8,0.5,0.2,0.1419336764050545
20,8,0.5,0.15,0.36349280638587894
5,9,0.5,0.2,0.055874216790522
10,9,0.5,0.2,0.1419336764050545
20,9,0.5,0.15,0.36349280638587894
5,10,0.5,0.2,0.055874216790522
10,10,0.5,0.2,0.1419336764050545
20,10,0.5,0.15,0.36349280638587894
5,11,0.5,0.2,0.055874216790522
10,11,0.5,0.2,0.1419336764050545
20,11,0.5,0.15,0.36349280638587894
5,12,0.5,0.2,0.055874216790522
10,12,0.5,0.2,0.1419336764050545
20,12,0.5,0.15,0.36349280638587894
5,13,0.5,0.2,0.055874216790522
10,13,0.5,0.2,0.1419336764050545
20,13,0.5,0.15,0.36349280638587894
5,14,0.5,0.2,0.055874216790522
10,14,0.5,0.2,0.1419336764050545
20,14,0.5,0.15,0.36349280638587894
5,15,0.5,0.2,0.055874216790522
10,15,0.5,0.2,0.1419336764050545
20,15,0.5,0.15,0.36349280638587894
5,16,0.5,0.2,0.055874216790522
10,16,0.5,0.2,0.1419336764050545
20,16,0.5,0.15,0.36349280638587894
5,17,0.5,0.2,0.055874216790522
10,17,0.5,0.2,0.1419336764050545
20,17,0.5,0.15,0.36349280638587894
5,18,0.5,0.2,0.055874216790522
10,18,0.5,0.2,0.1419336764050545
20,18,0.5,0.15,0.36349280638587894
5,19,0.5,0.2,0.055874216790522
10,19,0.5,0.2,0.1419336764050545
20,19,0.5,0.15,0.36349280638587894
5,20,0.5,0.2,0.055874216790522
10,20,0.5,0.2,0.1419336764050545
20,20,0.5,0.15,0.36349280638587894
5,21,0.5,0.2,0.055874216790522
10,21,0.5,0.2,0.1419336764050545
20,21,0.5,0.15,0.36349280638587894
5,22,0.5,0.2,0.055874216790522
10,22,0.5,0.2,0.1419336764050545
