stock,return_ratio,movement
360ONE,-0.0340508268952184,0
AARTIIND,-0.0185025284003195,0
AAVAS,-0.0110035315597145,0
ABB,-0.007336523497597,0
ABBOTINDIA,-0.0117291218703593,0
ABCAPITAL,-0.0051159326006659,0
ABFRL,-0.011827691124872,0
ABSLAMC,-0.0260206893186319,0
ACC,-0.0053250773993808,0
ACE,-0.038358458961474,0
ADANIENT,-0.0021027350084118,0
ADANIGREEN,-0.0164594607587953,0
ADANIPORTS,-0.0184837744223807,0
ADANIPOWER,-0.0096106577185947,0
AFFLE,-0.0292956070457457,0
AIAENG,0.0165856430634487,1
AJANTPHARM,-0.0109063457589844,0
ALKEM,-0.0001976414142455,0
ALKYLAMINE,0.0018148960733751,1
ALOKINDS,-0.0039623537191645,0
AMBER,-0.0334164682794373,0
AMBUJACEM,0.0042930243452519,1
ANANDRATHI,-0.0161520504278936,0
ANANTRAJ,0.0575368360076847,1
ANGELONE,-0.0390375028219247,0
APARINDS,-0.0755057097012686,0
APLAPOLLO,-0.0342403715859639,0
APLLTD,-0.0235913879981676,0
APOLLOHOSP,-0.0395469037217749,0
APOLLOTYRE,-0.030515984783731,0
APTUS,-0.0098657060507961,0
ASAHIINDIA,-0.0092103560180813,0
ASHOKLEY,-0.0079726015983397,0
ASIANPAINT,0.0182107642945149,1
ASTERDM,-0.0049600194647796,0
ASTRAL,-0.0161832075233907,0
ASTRAZEN,-0.0290901503481681,0
ATGL,0.0023461175070405,1
ATUL,-0.0103463114793136,0
AUBANK,-0.0025532878054149,0
AUROPHARMA,-0.0122157807984104,0
AVANTIFEED,-0.0263919013945242,0
AXISBANK,0.0069788769759953,1
BAJAJ-AUTO,-0.0190742436027079,0
BAJAJFINSV,0.0084682810875055,1
BAJAJHLDNG,0.015268482338296,1
BAJFINANCE,0.0001971331043517,1
BALAMINES,-0.0143516154421936,0
BALKRISIND,0.012908291154452,1
BALRAMCHIN,-0.0148199394045332,0
BANDHANBNK,-0.0210349373900302,0
BANKBARODA,0.0021078474585872,1
BANKINDIA,-0.0009978891830624,0
BASF,-0.0318218195111152,0
BATAINDIA,-0.0025624995447216,0
BAYERCROP,-0.0162674695546667,0
BBTC,0.0036823107322069,1
BDL,-0.0024477375719291,0
BEL,-0.0170730841510011,0
BEML,-0.0275361617108898,0
BERGEPAINT,0.0237119384089336,1
BHARATFORG,-0.0169284384490702,0
BHARTIARTL,0.0052487511167494,1
BHEL,-0.0153456636181667,0
BIOCON,-0.0291617463541131,0
BIRLACORPN,-0.0008596036070174,0
BLS,-0.0347277940183226,0
BLUEDART,-0.0126758133324564,0
BLUESTARCO,-0.0221742370973589,0
BOSCHLTD,0.0016702452557177,1
BPCL,0.0141442348366433,1
BRITANNIA,0.0057219519569041,1
BSE,0.0022456244260431,1
BSOFT,-0.0063013921589611,0
CAMS,-0.0350187650089903,0
CANBK,-0.0074589081071534,0
CANFINHOME,-0.0131504806091698,0
CAPLIPOINT,0.0127214797517284,1
CARBORUNIV,-0.0215400877277205,0
CASTROLIND,0.0265535868697841,1
CCL,-0.0274729501427971,0
CDSL,-0.0206680742492892,0
CEATLTD,-0.0076176689477973,0
CENTRALBK,-0.0082831068440567,0
CENTURYPLY,-0.020292772608015,0
CERA,-0.0266890020497756,0
CESC,-0.0268369962615068,0
CGCL,0.0195000814969266,1
CGPOWER,-0.0325905956807079,0
CHALET,-0.0182719916470895,0
CHAMBLFERT,-0.0032858586409233,0
CHEMPLASTS,-0.0155155155155155,0
CHENNPETRO,0.0181156621488837,1
CHOLAFIN,-0.000587753244756,0
CHOLAHLDNG,0.005869692632488,1
CIEINDIA,-0.0170593875503902,0
CIPLA,-0.0017028460656177,0
CLEAN,-0.0238423034645381,0
COALINDIA,0.0014481885494036,1
COCHINSHIP,-0.0062260617976955,0
COFORGE,-0.0064656185355259,0
COLPAL,0.0161358063763704,1
CONCOR,0.0033144814941178,1
COROMANDEL,-0.0055428073291512,0
CRAFTSMAN,-0.0097636735991518,0
CREDITACC,0.1295137780287096,1
CRISIL,-0.0228596582510856,0
CROMPTON,0.0028497428638398,1
CUB,-0.0079877872326429,0
CUMMINSIND,-0.0001896182825568,0
CYIENT,-0.0184669806797258,0
DABUR,0.0096295447336352,1
DALBHARAT,0.0004724054944768,1
DATAPATTNS,-0.0316659281472373,0
DBREALTY,-0.0092095021206374,0
DEEPAKFERT,-0.0213690437602964,0
DEEPAKNTR,-0.0093912379942067,0
DEVYANI,-0.0250115311300001,0
DIVISLAB,-0.0066944188189213,0
DIXON,-0.0837856384443166,0
DLF,-0.0101134833873789,0
DMART,0.0033156543899897,1
DRREDDY,0.014205875090251,1
EASEMYTRIP,-0.0222222464425224,0
ECLERX,-0.0162508393998861,0
